word,antonim
pancamuka,"monodimensi, monofaset"
pancarona,ekawarna
pandai,bodoh
pandir,pandai
pangkal,ujung
panik,"tenang, diam"
panjang,pendek
pantang,halal
papa,"kaya, hartawan"
papakerma,"baik, hati"
paradoksal,konsisten
parah,biasa
parsial,universal
partikelir,negeri
pasif,aktif
paternal,maternal
paternalistis,maternalistis
patih,penentang
patuh,berontak
payah,"ringan, mudah, tabah"
pecat,"melantik, mengaktifkan"
pedagang,pembeli
peduli,"tak, acuh"
pegang,melepas
pejam,melek
pekat,encer
pelajar,pengajar
pelan,cepat
pelanggan,penjual
pelantikan,pencopotan
pelawan,pendukung
pelayan,"juragan, majikan"
peleburan,"pemadatan, pemisahan"
pelengseran,pelantikan
pelik,mudah
pelit,dermawan
peloh,potensi
pemakai,produsen
pemanas,pendingin
pemanfaatan,"kemudaratan, kerugian"
pemarah,penyabar
pemasukan,pengeluaran
pemasungan,pembebasan
pembakaran,pemadaman
pembalutan,penanggalan
pembangkang,penurut
pembangun,pemusnah
pembantah,penurut
pembebasan,pengungkungan
pembekuan,pencairan
pembelengguan,pembebasan
pembeli,penjual
pembelokan,pelurusan
pemberangsang,penyabar
pemberani,penakut
pemberkasan,penguraian
pemboros,pelit
pemborosan,pengiritan
pembubaran,penyatuan
pembukaan,penutupan
pemecatan,pengaktifan
pemenang,pecundang
pemencaran,penghimpunan
pemimpin,bawahan
pemisahan,penyatuan
pemuda,pemudi
pemungkas,"pembuka, prolog"
pemungutan,penaburan
pemutusan,penyambungan
penaikan,penurunan
penambahan,pengurangan
penampungan,pembuangan
penangkapan,pembebasan
penat,bugar
penatar,petatar
penawanan,pembebasan
pencaci,penyanjung
pencampuran,pemisahan
penceraian,penyatuan
penceramah,pendengar
pencinta,pembenci
pencopotan,pelantikan
pendahuluan,penutup
pendamai,provakator
pendatang,pribumi
pendek,panjang
pendepakan,"pemilihan, perangkulan"
pendidik,murid
pendingin,pemanas
pendistribusian,pengumpulan
penduduk,pendatang
penebus,penggadai
penerima,"pemberi, donor"
penerimaan,"pengeluaran, penolakan"
pengabadian,pemusnahan
pengabdian,pembangkangan
pengabulan,penolakan
pengacara,klien
pengagungan,penghinaan
pengairan,pengeringan
pengajar,pelajar
pengakhiran,permulaan
penganggur,pekerja
pengap,berangin
pengasahan,penumpulan
pengasingan,penyatuan
pengatur,perusak
pengecer,grosir
pengemis,penderma
pengetes,teruji
penggabungan,pemisahan
penggalangan,pembubaran
penggugat,tergugat
pengguna,produsen
penggundulan,penanaman
pengharaman,penghalalan
penghukuman,pembebasan
penghutanan,penggundulan
pengikut,musuh
pengimpor,pengekspor
pengingkaran,pengakuan
pengiritan,pemborosan
pengotoran,pembersihan
penguji,teruji
pengurangan,penambahan
pengutang,kreditor
peningkatan,penurunan
pensiun,karya
penuh,"longgar, kosong"
penumpasan,penumbuhan
penunaian,pencicilan
penyatuan,pemisahan
penyayang,pembenci
penyejuk,penghangat
penyek,mancung
penyeragaman,penganekaragaman
penyerangan,penahanan
penyerapan,penyemburan
penyerbuan,penahanan
penyetoran,peminjaman
pera,pulen
perampang,penyabar
perang,damai
perawan,"jejaka, perjaka"
perbalahan,perdamaian
perbanyakan,pengurangan
perceraian,persatuan
percuma,bayar
perdamaian,permusuhan
perempuan,laki-laki
pergi,datang
periodik,"dinamik, berubah, gerak"
perjaka,perawan
perjumpaan,perpisahan
perkasa,takut
perlente,"amburadul, lusuh"
permai,"jelek, hancur"
permuliaan,penghinaan
permusuhan,persahabatan
pernah,belum
pernikahan,perceraian
persamaan,perbedaan
persekutuan,permusuhan
persepakatan,pertentangan
perseteruan,persahabatan
persetujuan,penolakan
persis,beda
personal,kelompok
pertanyaan,jawaban
pertemanan,permusuhan
pertempuran,perdamaian
pertengkaran,perdamaian
pertentangan,perdamaian
pertikaian,perdamaian
pesai,tertata
pesek,mancung
pesimis,optimis
pesimisme,optimisme
pesuruh,majikan
petandang,"tuan, rumah"
petinggi,"pegawai, rendah"
pilon,cerdas
pindah,"tetap, diam"
pinggir,tengah
pingit,membebaskan
pintar,bodoh
plastis,kaku
plontos,gondrong
plural,homogen
pluralitas,"homogenitas, kehomogenan"
plus,minus
porno,susila
positif,negatif
prajurit,perwira
pramuwisma,"majikan, tuan"
